time,cpi_mom,cpi_yoy,oil_price,gold_price,interest_rate,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,month,year,cpi_mom_diff,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std
2017-03-01,100.21,104.63,50.6,1251.2,12.13,100.14666666666666,104.64333333333332,4.607267984070237,4.6504303173929555,-0.38000000000000966,3,2017,-0.020000000000010232,100.37833333333333,0.21186759730523755,103.58583333333333,1.2320452938348032
2017-04-01,100.0,104.29,49.33,1268.3,11.13,99.89333333333332,104.03333333333335,4.605170185988092,4.6471754801331215,-0.3399999999999892,4,2017,-0.20999999999999375,100.35083333333334,0.2384593860343561,103.78583333333334,1.1215772849253287
2017-05-01,99.47,103.18,48.32,1275.4,11.13,99.76666666666667,103.33333333333333,4.599856091164322,4.636475035816504,-1.1099999999999994,5,2017,-0.5300000000000011,100.26166666666666,0.339808323867532,103.86083333333333,1.0387620108337492
2017-06-01,99.83,102.53,46.04,1242.3,10.14,99.80333333333333,102.74,4.603468739348334,4.630155438682,-0.6500000000000057,6,2017,0.35999999999999943,100.20916666666666,0.35472033371581363,103.87249999999999,1.0213816400079418
2017-07-01,100.11,102.51,50.17,1273.4,9.14,100.28666666666668,102.79666666666667,4.606269581431392,4.62996035479531,-0.01999999999999602,7,2017,0.28000000000000114,100.2075,0.3551728132510561,103.88250000000001,1.0060193835110023
2017-08-01,100.92,103.35,47.23,1322.2,9.14,100.54,103.08666666666666,4.614328123772857,4.638121286127777,0.8399999999999892,8,2017,0.8100000000000023,100.27583333333332,0.40761966080987694,103.9475,0.9362898249812849
2017-09-01,100.59,103.4,51.67,1284.8,8.14,100.64,103.24,4.611052849146247,4.638604962074329,0.05000000000001137,9,2017,-0.3299999999999983,100.27999999999999,0.41080851544680697,103.9525,0.9329047988065081
2017-10-01,100.41,102.97,54.38,1270.5,7.39,100.37666666666667,102.99333333333333,4.609261803891345,4.63443768366866,-0.4300000000000068,10,2017,-0.18000000000000682,100.245,0.37611651966324816,103.86,0.973270026998881
2017-11-01,100.13,102.61,57.4,1276.7,7.39,100.25,102.72333333333331,4.606469341719712,4.630935393874117,-0.35999999999999943,11,2017,-0.28000000000000114,100.21583333333332,0.3697531936878568,103.70166666666667,1.0117027351165424
2017-12-01,100.21,102.59,60.42,1309.3,6.891,100.28333333333332,102.61333333333333,4.607267984070237,4.630740462099621,-0.01999999999999602,12,2017,0.0799999999999983,100.21416666666666,0.3697286064455754,103.52333333333333,1.0025271098880486
2018-01-01,100.51,102.64,64.73,1343.1,6.89,100.48333333333333,102.79666666666667,4.610257225036649,4.631227720307381,0.04999999999999716,1,2018,0.30000000000001137,100.21833333333332,0.37301799452891216,103.30916666666667,0.8759769437950375
2018-02-01,100.73,103.16,61.64,1317.9,6.64,100.32333333333334,102.82,4.612443669954589,4.636281181013144,0.519999999999996,2,2018,0.21999999999999886,100.25999999999999,0.4012933635587921,103.15499999999999,0.6931417276036312
2018-03-01,99.73,102.66,64.94,1327.3,6.39,100.18,102.85333333333331,4.602466534413777,4.631422557132157,-0.5,3,2018,-1.0,100.21999999999998,0.4296510211787557,102.99083333333334,0.5249148560104833
